seller_id,seller_state,seller_city,total_orders,total_gmv,avg_lead_time,late_rate_pct,avg_review_score,bad_reviews,bad_review_rate_pct,seller_composite_score
2dee2ce60de9709b1a24083217181a1f,MT,sinop,54,7784.0,14.1,1.9,4.43,3.0,5.6,93.3
0df3984f9dfb3d49ac6366acbd3bbb85,MG,betim,86,9891.0,9.5,1.2,4.38,8.0,9.3,93.3
34d1ca11b242c0fee2c834ae8d788566,MG,congonhas,40,13422.0,13.2,0.0,4.33,2.0,5.0,93.3
9616352088dcf83a7c06637f4ebf1c80,PR,umuarama,91,5643.0,12.3,0.0,4.34,7.0,7.7,93.4
c66dccfb3f109511246da627dd5a2498,SP,registro,44,12183.0,11.3,4.5,4.57,3.0,6.8,93.4
d66c305afaec317ebee552073a674429,MG,ribeirao das neves,38,4127.0,9.8,2.6,4.47,2.0,5.3,93.4
9d4db00d65d7760644ac0c14edb5fd86,SP,sorocaba,97,9846.0,8.0,4.1,4.54,4.0,4.1,93.4
c3cfdc648177fdbbbb35635a37472c53,PR,curitiba,278,43048.0,9.7,2.5,4.47,21.0,7.6,93.4
fde0cc9ea29c8ccfc0a2c22256a58c71,PR,curitiba,35,3922.0,8.7,2.9,4.49,3.0,8.6,93.4
612170e34b97004b3ba37eae81836b4c,RS,novo hamburgo,107,23065.0,10.9,1.9,4.43,8.0,7.5,93.4
0432ead42b6c8a0bdf68154add917fdf,SP,maua,82,7574.0,8.8,3.7,4.54,6.0,7.3,93.5
709e16e2b25c7474d980076c6bfc4806,SP,birigui,60,5152.0,10.5,3.3,4.52,1.0,1.7,93.5
516e7738bd8f735ac19a010ee5450d8d,RJ,rio de janeiro,74,6463.0,8.8,5.4,4.64,2.0,2.7,93.6
6cd68b3ed6d59aaa9fece558ad360c0a,MG,belo horizonte,149,11189.0,10.5,2.0,4.46,5.0,3.4,93.6
6c7d50c24b3ccd2fd83b44d8bb34e073,SP,presidente prudente,112,8446.0,12.2,1.8,4.45,7.0,6.3,93.6
8ae520247981aa06bc94abddf5f46d34,SC,navegantes,65,16321.0,10.9,1.5,4.45,6.0,9.2,93.7
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,sao paulo,52,23629.0,8.7,0.0,4.37,4.0,7.7,93.7
d1b65fc7debc3361ea86b5f14c68d2e2,SP,mogi guacu,39,11413.0,9.2,5.1,4.64,1.0,2.6,93.8
9d5a9018aee56acb367ba9c3f05d1d6a,GO,aparecida de goiania,66,10120.0,15.0,1.5,4.45,7.0,10.6,93.8
fc906263ca5083d09dce42fe02247800,MG,belo horizonte,112,4418.0,9.4,0.0,4.39,10.0,8.9,93.9
c864036feaab8c1659f65ea4faebe1da,PR,campo largo,58,10454.0,12.3,3.4,4.57,3.0,5.2,94.0
bd4889b5e9133b35b66e42a8665cea5c,SP,sao paulo,36,6272.0,10.2,0.0,4.4,3.0,8.3,94.0
4da0e408c99d2fdc2126dc9fce518060,PR,cornelio procopio,44,3026.0,9.3,0.0,4.41,3.0,6.8,94.1
c68fb906c8f4b4b946d8386bfa6e5467,SP,jaboticabal,45,4541.0,10.9,2.2,4.52,3.0,6.7,94.1
bccf933e006e9b94a6184af782963e77,SP,assis,45,4163.0,11.6,2.2,4.52,3.0,6.7,94.1
7f7b8245c336066a1f9933c359f11d77,SP,mogi mirim,38,2094.0,8.2,2.6,4.55,3.0,7.9,94.2
9baf5cb77970f539089d09a38bcec5c3,SP,indaiatuba,31,5990.0,15.1,0.0,4.42,2.0,6.5,94.2
57e632711dec9ec14ca7546769483e7e,SC,navegantes,62,6350.0,10.8,0.0,4.42,3.0,4.8,94.2
3504c0cb71d7fa48d967e0e4c94d59d9,SP,maua,53,2350.0,7.2,0.0,4.42,2.0,3.8,94.2
2a5b78b41cd05baeac8df54c6606b92c,MG,formiga,46,15554.0,9.0,2.2,4.54,2.0,4.3,94.3
a3dd39f583bc80bd8c5901c95878921e,BA,salvador,34,4608.0,12.3,2.9,4.59,1.0,2.9,94.4
b372ee768ed69e46ca8cdbd267aa7a38,SP,sao jose do rio preto,63,12630.0,12.4,0.0,4.44,6.0,9.5,94.4
325f3178fb58e2a9778334621eecdbf9,SP,taboao da serra,36,982.0,6.4,0.0,4.44,3.0,8.3,94.4
725c32fa80c2faacc4fc88450d27314e,SP,sao paulo,89,7839.0,9.3,1.1,4.52,2.0,2.2,94.6
bf3c6d2a28b2b5501e6c15448982dcc9,SP,sao paulo,35,3957.0,11.7,2.9,4.6,1.0,2.9,94.6
12b9676b00f60f3b700e83af21824c0e,RS,montenegro,133,26376.0,15.0,1.5,4.54,5.0,3.8,94.6
594f9aaa48e5bf431f011ddc5669b0d5,MG,contagem,37,3249.0,7.6,2.7,4.59,1.0,2.7,94.6
a5cba26a62b8b4d0145b68b841e62e7f,PR,campo mourao,53,14439.0,13.1,1.9,4.57,2.0,3.8,94.7
acce39e832338debb07b02385cde5967,MG,contagem,44,4748.0,7.0,0.0,4.48,3.0,6.8,94.8
0ebd97a106433a45a4aebe57c1799778,MG,contagem,31,3047.0,9.4,0.0,4.48,2.0,6.5,94.8
f67efa3f0b6761102a7f8c6b7b571f5d,PR,curitiba,31,5189.0,10.1,0.0,4.48,2.0,6.5,94.8
376a891762bbdecbc02b4b6adec3fdda,GO,goiania,57,6406.0,12.1,3.5,4.67,1.0,1.8,94.9
ac3508719a1d8f5b7614b798f70af136,RS,canoas,101,12446.0,9.3,3.0,4.64,3.0,3.0,94.9
080199a181c46c657dc5aa235411be3b,SP,osasco,79,14504.0,8.0,2.5,4.62,1.0,1.3,94.9
d921b68bf747894be13a97ae52b0f386,MG,formiga,77,15646.0,9.9,1.3,4.56,4.0,5.2,94.9
31561f325664a8a7aba4c8d0c3a9b3db,SP,sao paulo,36,2702.0,7.3,2.8,4.64,1.0,2.8,95.0
289cdb325fb7e7f891c38608bf9e0962,SP,belo horizonte,109,13411.0,6.7,1.8,4.59,6.0,5.5,95.0
744dac408745240a2c2528fb1b6028f3,PR,colombo,78,22323.0,11.0,1.3,4.58,3.0,3.8,95.1
33a17d60c64393351ebf1ef860f4e0f2,RS,porto alegre,43,8152.0,10.5,2.3,4.63,1.0,2.3,95.1
18e694e0e48ed6f7aa3f24aade5fd697,SP,varzea paulista,31,702.0,5.9,3.2,4.68,0.0,0.0,95.2
d566c37fa119d5e66c4e9052e83ee4ea,SP,sao paulo,65,5146.0,5.7,3.1,4.69,2.0,3.1,95.3
b1ac6ea7895bc3dd6f0f6f4abbdd2821,RS,canoas,38,2962.0,10.1,0.0,4.53,1.0,2.6,95.3
e49c26c3edfa46d227d5121a6b6e4d37,PE,brejao,34,3624.0,11.6,0.0,4.56,2.0,5.9,95.6
6df688df543f90e9b38f4319e75a9d88,MG,belo horizonte,39,1892.0,7.9,0.0,4.56,1.0,2.6,95.6
e882b2a25a10b9c057cc49695f222c19,RJ,teresopolis,57,51058.0,9.5,0.0,4.58,3.0,5.3,95.8
6338ea67c41078a46ad99cc009654956,RS,farroupilha,37,2286.0,13.1,0.0,4.6,2.0,5.4,96.0
718539d38d07dd351c76db862760e2e2,SP,campinas,35,1273.0,8.5,0.0,4.63,1.0,2.9,96.3
5a93f3ab0ef4c84ed5e1b5dbf23978bc,SP,monteiro lobato,38,2299.0,15.0,2.6,4.79,1.0,2.6,96.6
02f5837340d7eb4f653d676c7256523a,PR,curitiba,30,3883.0,9.6,3.3,4.83,1.0,3.3,96.7
b410bdd36d5db7a65dcd42b7ead933b8,GO,goiania,42,7369.0,9.1,2.4,4.81,0.0,0.0,96.9
83e197e95a1bbabc8c75e883ed016c47,RJ,mage,46,6574.0,10.5,2.2,4.8,1.0,2.2,97.0
48efc9d94a9834137efd9ea76b065a38,PR,curitiba,33,346.0,10.7,0.0,5.0,0.0,0.0,100.0
